,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk Level
907,27,male,2,own,NA,moderate,3711,36,education,Low Risk
908,46,female,1,own,little,NA,3594,15,car,High Risk
909,33,female,1,own,NA,moderate,3195,9,car,Low Risk
910,34,female,2,own,little,NA,4454,36,radio/TV,High Risk
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,Medium Risk
912,25,female,2,own,NA,moderate,2991,30,radio/TV,Low Risk
913,28,male,2,own,rich,NA,2142,11,business,High Risk
914,31,male,2,rent,little,little,3161,24,business,Medium Risk
915,32,female,3,own,little,moderate,18424,48,vacation/others,High Risk
916,32,male,2,own,moderate,NA,2848,10,car,High Risk
917,68,male,3,own,little,little,14896,6,car,Low Risk
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,Low Risk
919,39,male,3,rent,little,little,3345,24,furniture/equipment,Medium Risk
920,28,female,2,own,little,NA,1817,18,furniture/equipment,High Risk
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,High Risk
922,22,female,2,rent,little,little,1366,9,radio/TV,Low Risk
923,30,male,2,rent,little,moderate,2002,12,car,Low Risk
924,55,male,2,own,little,little,6872,24,furniture/equipment,Medium Risk
925,46,male,2,own,little,little,697,12,car,Low Risk
926,21,female,2,rent,little,little,1049,18,furniture/equipment,Low Risk
927,39,male,2,free,little,little,10297,48,car,High Risk
928,58,male,2,own,NA,NA,1867,30,radio/TV,High Risk
929,43,male,1,own,little,little,1344,12,car,Low Risk
930,24,male,1,own,little,little,1747,24,furniture/equipment,Low Risk
931,22,female,2,own,little,moderate,1670,9,radio/TV,Low Risk
932,30,male,2,own,little,NA,1224,9,car,High Risk
933,42,male,2,own,quite rich,NA,522,12,radio/TV,High Risk
934,23,female,2,own,little,little,1498,12,radio/TV,Low Risk
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,Low Risk
936,28,female,1,own,little,rich,745,9,radio/TV,Low Risk
937,30,male,3,rent,little,moderate,2063,6,radio/TV,Low Risk
938,42,male,2,free,little,moderate,6288,60,education,Low Risk
939,46,male,3,own,NA,NA,6842,24,car,High Risk
940,45,male,3,own,NA,NA,3527,12,car,High Risk
941,31,male,1,own,little,NA,1546,10,car,High Risk
942,31,male,2,own,NA,NA,929,24,furniture/equipment,High Risk
943,42,male,1,own,little,NA,1455,4,car,High Risk
944,46,female,2,rent,little,little,1845,15,furniture/equipment,Low Risk
945,30,female,2,own,quite rich,moderate,8358,48,car,High Risk
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,Medium Risk
947,38,male,3,own,NA,NA,2859,12,car,High Risk
948,43,male,1,own,little,NA,1533,18,furniture/equipment,High Risk
949,31,male,2,own,moderate,NA,3621,24,radio/TV,High Risk
950,40,male,0,own,little,moderate,3590,18,business,Medium Risk
951,24,male,2,own,little,little,2145,36,business,Low Risk
952,28,female,2,rent,quite rich,moderate,4113,24,car,Medium Risk
953,26,female,3,own,little,NA,10974,36,furniture/equipment,High Risk
954,29,female,2,own,little,little,1893,12,car,Low Risk
955,57,female,3,rent,rich,little,1231,24,radio/TV,Low Risk
956,49,male,1,own,NA,rich,3656,30,radio/TV,Low Risk
957,37,male,1,own,little,moderate,1154,9,radio/TV,Low Risk
958,45,male,1,own,little,little,4006,28,car,Low Risk
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,Medium Risk
960,30,male,2,rent,little,NA,1740,6,radio/TV,High Risk
961,47,male,2,own,little,moderate,2353,21,car,Low Risk
962,29,male,2,own,NA,NA,3556,15,car,High Risk
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,High Risk
964,22,male,1,own,little,moderate,454,6,repairs,Low Risk
965,26,female,2,own,NA,moderate,1715,30,radio/TV,Low Risk
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,Low Risk
967,54,female,3,rent,little,NA,3568,15,radio/TV,High Risk
968,29,male,2,rent,NA,NA,7166,42,radio/TV,High Risk
969,40,male,1,own,little,little,3939,11,car,Low Risk
970,22,male,2,own,moderate,moderate,1514,15,repairs,Low Risk
971,43,male,1,own,little,NA,7393,24,car,High Risk
972,29,female,0,rent,little,little,1193,24,car,Low Risk
973,36,male,2,rent,little,little,7297,60,business,Low Risk
974,33,female,2,own,little,NA,2831,30,radio/TV,High Risk
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,Low Risk
976,64,female,2,own,little,moderate,753,6,radio/TV,Low Risk
977,42,male,2,own,NA,moderate,2427,18,business,Low Risk
978,47,male,1,own,little,NA,2538,24,car,High Risk
979,25,male,2,rent,moderate,moderate,1264,15,car,Low Risk
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,High Risk
981,33,male,3,rent,little,NA,4844,48,business,High Risk
982,28,female,3,own,moderate,rich,2923,21,car,Low Risk
983,26,male,2,own,little,little,8229,36,car,High Risk
984,30,male,1,own,little,NA,2028,24,furniture/equipment,High Risk
985,25,female,2,rent,little,little,1433,15,furniture/equipment,Low Risk
986,33,male,2,own,little,rich,6289,42,business,Low Risk
987,64,female,2,own,moderate,NA,1409,13,radio/TV,High Risk
988,29,male,3,free,little,little,6579,24,car,Medium Risk
989,48,male,1,own,little,moderate,1743,24,radio/TV,Low Risk
990,37,male,1,own,NA,NA,3565,12,education,High Risk
991,34,male,1,own,moderate,NA,1569,15,radio/TV,High Risk
992,23,male,1,rent,NA,little,1936,18,radio/TV,Low Risk
993,30,male,3,own,little,little,3959,36,furniture/equipment,Low Risk
994,50,male,2,own,NA,NA,2390,12,car,High Risk
995,31,female,1,own,little,NA,1736,12,furniture/equipment,High Risk
996,40,male,3,own,little,little,3857,30,car,Low Risk
997,38,male,2,own,little,NA,804,12,radio/TV,High Risk
998,23,male,2,free,little,little,1845,45,radio/TV,Low Risk
999,27,male,2,own,moderate,moderate,4576,45,car,Low Risk
